year,match_number,team_a,goals_team_a,goals_team_b,team_b,score_diff,winner,matches_played_a,matches_won_a,podium_score_a,cups_won_a,matches_played_cum_a,matches_won_cum_a,podium_score_cum_a,matches_won_cum_percent_a,matches_played_b,matches_won_b,podium_score_b,cups_won_b,matches_played_cum_b,matches_won_cum_b,podium_score_cum_b,matches_won_cum_percent_b
1991,1,China PR,4,0,Norway,4,a,3,2,0,0,3,2,0,66.66666666666666,6,4,8,0,6,4,8,66.66666666666666
1991,23,Sweden,1,4,Norway,-3,b,6,4,4,0,6,4,4,66.66666666666666,6,4,8,0,6,4,8,66.66666666666666
1991,13,China PR,4,1,New Zealand,3,a,3,2,0,0,3,2,0,66.66666666666666,3,0,0,0,3,0,0,0.0
1991,2,Denmark,3,0,New Zealand,3,a,3,1,0,0,3,1,0,33.33333333333333,3,0,0,0,3,0,0,0.0
1991,8,Norway,4,0,New Zealand,4,a,6,4,8,0,6,4,8,66.66666666666666,3,0,0,0,3,0,0,0.0
1991,19,China PR,0,1,Sweden,-1,b,3,2,0,0,3,2,0,66.66666666666666,6,4,4,0,6,4,4,66.66666666666666
1991,9,Japan,0,8,Sweden,-8,b,3,0,0,0,3,0,0,0.0,6,4,4,0,6,4,4,66.66666666666666
1991,16,Brazil,0,2,Sweden,-2,b,3,1,0,0,3,1,0,33.33333333333333,6,4,4,0,6,4,4,66.66666666666666
1991,6,Germany,4,0,Nigeria,4,a,6,4,2,0,6,4,2,66.66666666666666,3,0,0,0,3,0,0,0.0
1991,17,Chinese Taipei,2,0,Nigeria,2,a,4,1,0,0,4,1,0,25.0,3,0,0,0,3,0,0,0.0
1991,12,Italy,1,0,Nigeria,1,a,4,2,0,0,4,2,0,50.0,3,0,0,0,3,0,0,0.0
1991,24,Germany,2,5,USA,-3,b,6,4,2,0,6,4,2,66.66666666666666,6,6,16,1,6,6,16,100.0
1991,4,Sweden,2,3,USA,-1,b,6,4,4,0,6,4,4,66.66666666666666,6,6,16,1,6,6,16,100.0
1991,15,Japan,0,3,USA,-3,b,3,0,0,0,3,0,0,0.0,6,6,16,1,6,6,16,100.0
1991,26,Norway,1,2,USA,-1,b,6,4,8,0,6,4,8,66.66666666666666,6,6,16,1,6,6,16,100.0
1991,10,Brazil,0,5,USA,-5,b,3,1,0,0,3,1,0,33.33333333333333,6,6,16,1,6,6,16,100.0
1991,25,Sweden,4,0,Germany,4,a,6,4,4,0,6,4,4,66.66666666666666,6,4,2,0,6,4,2,66.66666666666666
1991,21,Denmark,1,2,Germany,-1,b,3,1,0,0,3,1,0,33.33333333333333,6,4,2,0,6,4,2,66.66666666666666
1991,11,Chinese Taipei,0,3,Germany,-3,b,4,1,0,0,4,1,0,25.0,6,4,2,0,6,4,2,66.66666666666666
1991,18,Italy,0,2,Germany,-2,b,4,2,0,0,4,2,0,50.0,6,4,2,0,6,4,2,66.66666666666666
1991,3,Japan,0,1,Brazil,-1,b,3,0,0,0,3,0,0,0.0,3,1,0,0,3,1,0,33.33333333333333
1991,5,Chinese Taipei,0,5,Italy,-5,b,4,1,0,0,4,1,0,25.0,4,2,0,0,4,2,0,50.0
1991,20,Norway,3,2,Italy,1,a,6,4,8,0,6,4,8,66.66666666666666,4,2,0,0,4,2,0,50.0
1991,14,Norway,2,1,Denmark,1,a,6,4,8,0,6,4,8,66.66666666666666,3,1,0,0,3,1,0,33.33333333333333
1991,22,USA,7,0,Chinese Taipei,7,a,6,6,16,1,6,6,16,100.0,4,1,0,0,4,1,0,25.0
1995,2,Germany,1,0,Japan,1,a,6,4,8,0,12,8,10,66.66666666666666,4,1,0,0,7,1,0,14.285714285714285
1995,13,Sweden,2,0,Japan,2,a,3,2,0,0,9,6,4,66.66666666666666,4,1,0,0,7,1,0,14.285714285714285
1995,8,Brazil,1,2,Japan,-1,b,3,1,0,0,6,2,0,33.33333333333333,4,1,0,0,7,1,0,14.285714285714285
